,ID tienda ,Nombre Tienda,Formato Tienda,Municipio,Estado,Calle y Número,Colonia,CP,Coordenadas,Latitud,Longitud
519,551,LIBRAMIENTO ENSENADA (OJOS NEG,SÚPER,ENSENADA,BAJA CALIFORNIA,LIBRAMIENTO 10001,OAXACA ANGEL FERNANDEZ,22620.0,"31.8738,-116.5726",31.8738,-116.5726
520,552,GERANIOS,SÚPER,ENSENADA,BAJA CALIFORNIA,AV. GERANEOS 513,COLINAS DE LA PRESA 2 SECC,22810.0,"31.8956,-116.5781",31.8956,-116.5781
526,558,SAN BUENA VENTURA,EXPRESS,SAN BUENAVENTURA,COAHUILA DE ZARAGOZA,JUAREZ 444,CENTRO,25500.0,"27.0533,-101.5489",27.0533,-101.5489
527,559,DEL LAGO,SÚPER,PIEDRAS NEGRAS,COAHUILA DE ZARAGOZA,AMPL. BLVD. REPUBLICA 1800,DEL LAGO,26069.0,"28.7022,-100.5604",28.7022,-100.5604
528,560,MONTERREAL,SÚPER,TORREÓN,COAHUILA DE ZARAGOZA,CALZ. PASEO DEL TECNOLOGICO OTE. 2300,VILLAS DE LAS PERLAS,27277.0,"25.5037,-103.3570",25.5037,-103.357
529,561,LIBERTAD COAH.,MERCADO,TORREÓN,COAHUILA DE ZARAGOZA,BLVD. TORREON - MATAMOROS OTE. 7200,VALLE ORIENTE,27277.0,"25.5341,-103.3584",25.5341,-103.3584
530,562,LERDO,MERCADO,LERDO,DURANGO,LIBRAMIENTO PERIFERICO NTE. 450,FILIBERTO GARCIA,35159.0,"25.5422,-103.5328",25.5422,-103.5328
533,565,GUAMÚCHIL,EXPRESS,SALVADOR ALVARADO,SINALOA,NICOLAS BRAVO PTE. 519,JUAREZ,81450.0,"25.4636,-108.0837",25.4636,-108.0837
535,568,DELANTE,SÚPER,ENSENADA,BAJA CALIFORNIA,ESMERALDA 251,EX-MANZANA DE LA C.P.,22850.0,"31.8539,-116.5801",31.8539,-116.5801
539,573,VALLE ALTO,MERCADO,CIUDAD VALLES,SAN LUIS POTOSÍ,CARRETERA MEXICO- LAREDO 1353,VALLE ALTO,79026.0,"22.0020,-99.0083",22.002,-99.0083
543,580,JUAN PABLO II,MERCADO,CHIHUAHUA,CHIHUAHUA,PERIFERICO VICENTE LOMBARDO TOLEDANO 8400,AEROPUERTO,31380.0,"28.6443,-106.0131",28.6443,-106.0131
545,583,SABINAS,EXPRESS,SABINAS,COAHUILA DE ZARAGOZA,FRANCISCO I. MADERO OTE. 447,CENTRO,26700.0,"27.8474,-101.1187",27.8474,-101.1187
546,584,MIGUEL ALEMAN TAMPS,EXPRESS,MIGUEL ALEMÁN,TAMAULIPAS,AV. EMILIANO ZAPATA PTE. 445,CENTRO MIGUEL ALEMAN,88300.0,"26.3988,-99.0291",26.3988,-99.0291
549,587,PACIFICO,SÚPER,TIJUANA,BAJA CALIFORNIA,BLVD. PACIFICO 7501,PARQUE INDUSTRIZL PACIFICO,22572.0,"32.4764,-116.9928",32.4764,-116.9928
555,593,ESCUINAPA,EXPRESS,ESCUINAPA,SINALOA,GABRIEL LEYVA 17,CENTRO,82400.0,"22.8336,-105.7772",22.8336,-105.7772
559,597,JIMÉNEZ,EXPRESS,JIMÉNEZ,CHIHUAHUA,AV. JUAREZ 317,CENTRO,33980.0,"27.1303,-104.9172",27.1303,-104.9172
563,602,CUATRO CIÉNEGAS,EXPRESS,CUATRO CIÉNEGAS,COAHUILA DE ZARAGOZA,JOSE CARLOS GARZA 704,BENITO JUAREZ,27640.0,"26.9887,-102.0563",26.9887,-102.0563
566,605,OJO CALIENTE,EXPRESS,OJOCALIENTE,ZACATECAS,CERVANTES CORONA 44,CENTRO,98700.0,"22.5670,-102.2485",22.567,-102.2485
573,615,LA GLORIA,SÚPER,TIJUANA,BAJA CALIFORNIA,CARRETERA TIJUANA-ENSENADA 10121,SAN ANTONIO DE LOS BUENOS,22114.0,"32.4441,-117.0157",32.4441,-117.0157
575,618,GRACIANO SÁNCHEZ,MERCADO,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSÍ,AV. SAN PEDRO 1807,SAN FRANCISCO,78435.0,"22.1673,-100.9282",22.1673,-100.9282
577,620,CAMINO REAL BCS,SÚPER,LA PAZ,BAJA CALIFORNIA SUR,BLVD. FORJADORES DE SUDCALIFORNIA SN,EL PALMAR II,23084.0,"24.0528,-110.3030",24.0528,-110.303
