,ID tienda ,Nombre Tienda,Formato Tienda,Municipio,Estado,Calle y Número,Colonia,CP,Coordenadas,Latitud,Longitud
1,2,SAN ISIDRO,HÍPER,SALTILLO,COAHUILA DE ZARAGOZA,B. VENUSTIANO CARRANZA 4826,DOCTORES,25250.0,"25.4662,-100.9787",25.4662,-100.9787
3,4,ORIENTE,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,BLVD. TORREON-MATAMOROS 5000,FRACC. LA MERCED,27270.0,"25.5338,-103.3947",25.5338,-103.3947
5,6,TECNOLOGICO,HÍPER,CHIHUAHUA,CHIHUAHUA,AV. TECNOLOGICO 6902,FRACC.  SANTA BARBARA,31150.0,"28.6788,-106.1028",28.6788,-106.1028
10,11,FRANCISCO COSS,HÍPER,SALTILLO,COAHUILA DE ZARAGOZA,BLVD. FRANCISCO COSS SN,CENTRO,25000.0,"25.4358,-101.0031",25.4358,-101.0031
12,13,MONCLOVA,HÍPER,MONCLOVA,COAHUILA DE ZARAGOZA,HUEMAC SN,ANAHUAC,25750.0,"26.9001,-101.4396",26.9001,-101.4396
14,15,LOPEZ MATEOS,HÍPER,JUÁREZ,CHIHUAHUA,PERIM. CARLOS AMAYA 2125,PARTIDO IGLESIAS,32380.0,"31.7123,-106.4537",31.7123,-106.4537
16,17,MATAMOROS,HÍPER,MATAMOROS,TAMAULIPAS,AV. PEDRO CARDENAS GTZ 1900,VICTORIA,87390.0,"25.8512,-97.5037",25.8512,-97.5037
17,18,HIDALGO,HÍPER,REYNOSA,TAMAULIPAS,BLVD. HIDALGO KM 101 SN,FRACC. LAS FUENTES,88710.0,"26.0720,-98.3222",26.072,-98.3222
18,19,REFORMA,HÍPER,NUEVO LAREDO,TAMAULIPAS,BLVD. REFORMA SN,CAMPESTRE,88278.0,"27.4570,-99.5135",27.457,-99.5135
20,21,PIEDRAS NEGRAS,HÍPER,PIEDRAS NEGRAS,COAHUILA DE ZARAGOZA,CARRETERA 57 203,VENUSTIANO CARRANZA,26070.0,"28.6855,-100.5458",28.6855,-100.5458
24,25,INDEPENDENCIA,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,INDEPENDENCIA  OTE 1100,CENTRO,27000.0,"25.5562,-103.4365",25.5562,-103.4365
25,26,SAN LORENZO,HÍPER,JUÁREZ,CHIHUAHUA,P. TRIUNFO DE LA REP. 5298,SAN LORENZO,32320.0,"31.7358,-106.4270",31.7358,-106.427
28,29,HENEQUEN,HÍPER,JUÁREZ,CHIHUAHUA,AV. DE LAS TORRES 6975,LAS DUNAS,32650.0,"31.6492,-106.3906",31.6492,-106.3906
30,31,DEL RIO,HÍPER,REYNOSA,TAMAULIPAS,BLVD. MORELOS 136,ANTONIO J. BERMUDEZ,88727.0,"26.0574,-98.2913",26.0574,-98.2913
32,33,COLON,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,CALZ. COLON SUR 400,CENTRO,27000.0,"25.5371,-103.4498",25.5371,-103.4498
33,34,CENTRO,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,AV. HIDALGO PTE 1550,CENTRO,27000.0,"25.5371,-103.4652",25.5371,-103.4652
34,35,20 DE NOVIEMBRE,HÍPER,DURANGO,DURANGO,AV. 20 DE NOVIEMBRE OTE. 209,CENTRO,34000.0,"24.0267,-104.6633",24.0267,-104.6633
35,36,NIÑOS HEROES,HÍPER,CHIHUAHUA,CHIHUAHUA,NIÑOS HEROES 1,CENTRO,31000.0,"28.6385,-106.0789",28.6385,-106.0789
36,37,GÓMEZ PALACIO,HÍPER,GÓMEZ PALACIO,DURANGO,AV. VICTORIA SN,CENTRO,35000.0,"25.5618,-103.4952",25.5618,-103.4952
37,38,UNIVERSIDAD,HÍPER,CHIHUAHUA,CHIHUAHUA,AV. UNIVERSIDAD 3500,FRACC. UNIVERSIDAD,31170.0,"28.6608,-106.0945",28.6608,-106.0945
38,39,SANDERS,HÍPER,JUÁREZ,CHIHUAHUA,CALZ. EDUARDO SANDERS SN,BARREAL,32040.0,"31.7230,-106.4716",31.723,-106.4716
40,41,FUNDADORES,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,BLVD. REVOLUCION OTE. SN,CENTRO,27000.0,"25.5330,-103.4067",25.533,-103.4067
41,42,PLAZA JUAREZ,HÍPER,JUÁREZ,CHIHUAHUA,AV. TECNOLOGICO 2701,EL MARQUEZ,32610.0,"31.7047,-106.4299",31.7047,-106.4299
42,43,CONSTITUCION,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,BLVD. CONSTITUCION 1111,MARGARITAS,27130.0,"25.5651,-103.4415",25.5651,-103.4415
43,44,ZACATECAS,HÍPER,ZACATECAS,ZACATECAS,BLVD. LOPEZ PORTILLO 1,FOVISSSTE,98064.0,"22.7615,-102.5477",22.7615,-102.5477
44,45,MADERO,HÍPER,DURANGO,DURANGO,AV. DOMINGO ARRIETA SN,DOMINGO ARRIETA,34180.0,"24.0087,-104.6640",24.0087,-104.664
45,46,DELICIAS,HÍPER,DELICIAS,CHIHUAHUA,CALZ. GOMEZ MORIN SN,CENTRO,33000.0,"28.1897,-105.4596",28.1897,-105.4596
46,47,LAS FUENTES,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,CALLE DEL ARCANGEL 20,LA FUENTE,27290.0,"25.5149,-103.4159",25.5149,-103.4159
47,48,JARDINES,HÍPER,DURANGO,DURANGO,MAGNOLIA 100,FRACC. JARDINES DE DURANGO,34200.0,"24.0441,-104.6306",24.0441,-104.6306
48,49,LAS ROSAS,HÍPER,GÓMEZ PALACIO,DURANGO,BLVD. MIGUEL ALEMAN 1495,LAS ROSAS,35090.0,"25.5540,-103.5057",25.554,-103.5057
50,51,LAS PALMAS,HÍPER,VICTORIA,TAMAULIPAS,J. B. TIJERINA NTE 2033,FRACC. LAS PALMAS,87140.0,"23.7494,-99.1408",23.7494,-99.1408
51,52,PAPE,HÍPER,MONCLOVA,COAHUILA DE ZARAGOZA,BLVD. HAROLD R. PAPE 1202,LA LOMA,25770.0,"26.8892,-101.4233",26.8892,-101.4233
54,55,MIRADOR,HÍPER,CHIHUAHUA,CHIHUAHUA,INDIANA 3300,RESIDENCIAL CAMPESTRE,31238.0,"28.6407,-106.1029",28.6407,-106.1029
55,56,EJERCITO,HÍPER,TAMPICO,TAMAULIPAS,AV. EJERCITO MEXICANO 1101,TAMPICO,89137.0,"22.2527,-97.8612",22.2527,-97.8612
57,58,LAURO VILLAR,HÍPER,MATAMOROS,TAMAULIPAS,AV. LAURO VILLAR 1203,LAS ARBOLEDAS,87448.0,"25.8644,-97.4776",25.8644,-97.4776
59,60,FRESNILLO,HÍPER,FRESNILLO,ZACATECAS,PLATEROS 429,BARRIO ALTO,99070.0,"23.1848,-102.8627",23.1848,-102.8627
63,64,CARRIZO,HÍPER,NUEVO LAREDO,TAMAULIPAS,BELDEN 7435,BUENA VISTA,88120.0,"27.4965,-99.5511",27.4965,-99.5511
64,65,LOURDES,HÍPER,SALTILLO,COAHUILA DE ZARAGOZA,PERIFERICO LUIS ECHEVERRIA 999,LOURDES,25070.0,"25.3910,-101.0035",25.391,-101.0035
66,67,MANTE,HÍPER,EL MANTE,TAMAULIPAS,VICENTE GUERRERO OTE 900,VILLA JUAREZ,89860.0,"22.7421,-98.9616",22.7421,-98.9616
67,68,ACUÑA,HÍPER,ACUÑA,COAHUILA DE ZARAGOZA,JOSE DE LAS FUENTES R 595,FRACC. LA AMISTAD,26248.0,"29.3222,-100.9575",29.3222,-100.9575
68,69,EL PASEO,HÍPER,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,SALVADOR NAVA 405,FRACC. CENTRAL,78399.0,"22.1409,-100.9543",22.1409,-100.9543
69,70,PORVENIR,HÍPER,JUÁREZ,CHIHUAHUA,MANUEL J. CLOUTHIER 450,FRACC. RIO GRANDE,32574.0,"31.6579,-106.3599",31.6579,-106.3599
70,71,RÍO BRAVO,HÍPER,RÍO BRAVO,TAMAULIPAS,AV. FCO I MADERO PTE 1160,FRACC. RIO BRAVO,88950.0,"25.9888,-98.1109",25.9888,-98.1109
74,75,TAMATAN,HÍPER,VICTORIA,TAMAULIPAS,LUIS CABALLERO PTE 250,FRACC. ZOZAYA,87070.0,"23.7228,-99.1597",23.7228,-99.1597
75,76,AEROPUERTO,HÍPER,TAMPICO,TAMAULIPAS,CARRETERA TAMPICO-MANTE 6905,FRANCISCO JAVIER MINA,89318.0,"22.2988,-97.8761",22.2988,-97.8761
76,77,FUENTES MARES,HÍPER,CHIHUAHUA,CHIHUAHUA,JOSE FUENTES MARES 300,SANTA ROSA 10° SECTOR,31050.0,"28.6212,-106.0494",28.6212,-106.0494
81,82,ZAPATA,HÍPER,CULIACÁN,SINALOA,EMILIANO ZAPATA OTE 2151,EL VALLADO,80110.0,"24.7898,-107.4236",24.7898,-107.4236
84,85,ZARAGOZA,HÍPER,JUÁREZ,CHIHUAHUA,BLVD. OSCAR FLORES SUR 6751,NUEVO HIPODROMO,32674.0,"31.6570,-106.4444",31.657,-106.4444
88,89,SAN FRANCISCO,HÍPER,CHIHUAHUA,CHIHUAHUA,PERIFERICO DE LA JUVENTUD 6300,EL SAUCITO,31165.0,"28.6670,-106.1280",28.667,-106.128
89,90,IGLESIAS,HÍPER,JUÁREZ,CHIHUAHUA,AV. EJERCITO NACIONAL 5230,BENITO JUAREZ,32390.0,"31.7118,-106.4438",31.7118,-106.4438
90,91,BACHOCO,HÍPER,HERMOSILLO,SONORA,BLVD. MORELOS 432,BACHOCO,83148.0,"29.1241,-110.9521",29.1241,-110.9521
92,93,HAMBURGO,HÍPER,GÓMEZ PALACIO,DURANGO,PERIF. TORREON-GOMEZ KM 6,FRACC. HAMBURGO,35010.0,"25.5942,-103.5036",25.5942,-103.5036
93,94,LA RIBEREÑA,HÍPER,REYNOSA,TAMAULIPAS,JOSE ZERTUCHE 1100,FRACC. COUNTRY,88620.0,"26.0880,-98.3016",26.088,-98.3016
94,95,MAZATLÁN,HÍPER,MAZATLÁN,SINALOA,AV. INSURGENTES 1198,VILLA DEL ESTEREO,82156.0,"23.2373,-106.4210",23.2373,-106.421
96,97,JUVENTUD,HÍPER,CHIHUAHUA,CHIHUAHUA,AV. DE LA JUVENTUD 401,PASEOS DE CHIHUAHUA,31106.0,"28.7050,-106.1293",28.705,-106.1293
97,98,ENCINAS,HÍPER,HERMOSILLO,SONORA,JESUS GARCIA MORALES 2,EL LLANO,83210.0,"29.0929,-110.9936",29.0929,-110.9936
98,99,BELLA VISTA,HÍPER,CAJEME,SONORA,BLVD. R ELIAS CALLES PTE 1740,PARIS,85130.0,"27.4846,-109.9592",27.4846,-109.9592
106,108,MOCHIS,HÍPER,AHOME,SINALOA,AV. INDEPENDENCIA PTE 1949,RUBEN JARAMILLO,81230.0,"25.8004,-109.0152",25.8004,-109.0152
107,109,LAGUNETA,HÍPER,MATAMOROS,TAMAULIPAS,PROLONGACIÓN GONZALEZ 2035,PARQUE INDUSTRIAL,87479.0,"25.8790,-97.5219",25.879,-97.5219
110,112,PROGRESO,HÍPER,HERMOSILLO,SONORA,BLVD. PROGRESO 663,SOLIDARIDAD,83116.0,"29.1455,-110.9953",29.1455,-110.9953
113,115,TRIANA,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,BLVD. RODRIGUEZ TRIANA SN,LAS MISIONES,27276.0,"25.5132,-103.3956",25.5132,-103.3956
115,117,LA PAZ BC,HÍPER,LA PAZ,BAJA CALIFORNIA SUR,CALZ. FORJADORES DE SUDCALIFORNIA 4390,EX-BASE AEREA,23050.0,"24.1252,-110.3131",24.1252,-110.3131
119,121,ECHEVERRIA,HÍPER,SALTILLO,COAHUILA DE ZARAGOZA,PERIFERICO LUIS ECHEVERRIA 6301,SAN RAMON,25020.0,"25.4170,-100.9717",25.417,-100.9717
122,124,NAVOJOA,MERCADO,NAVOJOA,SONORA,PROLONGACIÓN PESQUEIRA SUR 2105,JUAREZ,85870.0,"27.0611,-109.4406",27.0611,-109.4406
123,125,BARRANCOS,HÍPER,CULIACÁN,SINALOA,BLVD. BENJAMIN HILL SUR 5720,INFONAVIT BARRANCOS,80190.0,"24.7470,-107.4261",24.747,-107.4261
125,127,LOS CABOS,HÍPER,LOS CABOS,BAJA CALIFORNIA SUR,CARRETERA A TODOS LOS SANTOS SN,BRISAS DEL PACIFICO,23410.0,"22.9043,-109.9319",22.9043,-109.9319
127,129,SANTA ROSA,HÍPER,MAZATLÁN,SINALOA,AV. LUIS DONALDO COLOSIO M. 17301,FRACC. VALLE DORADO,82165.0,"23.2588,-106.4060",23.2588,-106.406
128,130,GUAYMAS,MERCADO,GUAYMAS,SONORA,BLVD. BENITO JUAREZ 910,AMPLIACION GUADALUPE,85440.0,"27.9198,-110.9129",27.9198,-110.9129
129,131,SENDERO LAS TORRES,HÍPER,JUÁREZ,CHIHUAHUA,AV. DE LAS TORRES 2111,FRACC. TORRE SOL,32574.0,"31.6238,-106.3962",31.6238,-106.3962
137,139,LA PAZ,MERCADO,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,AV. DE LA PAZ 220,BARRIO DE SANTIAGO,78038.0,"22.1669,-100.9767",22.1669,-100.9767
138,140,NOGALES,HÍPER,NOGALES,SONORA,BLVD. LUIS DONALDO COLOSIO MURRIETA 2700,UNIDAD DEPORTIVA,84065.0,"31.2904,-110.9461",31.2904,-110.9461
139,141,CD. VALLES,MERCADO,CIUDAD VALLES,SAN LUIS POTOSÍ,CARRETERA MEXICO - LAREDO 2200,FRACC. LOMAS DE YUEJAT,79099.0,"21.9671,-99.0000",21.9671,-99.0
140,142,PARRAL,MERCADO,HIDALGO DEL PARRAL,CHIHUAHUA,AV. NIÑOS HEROES KM 1015,CARRETERA A SANTA BARBARA,33884.0,"26.9345,-105.6900",26.9345,-105.69
144,146,SAN JOSÉ DEL CABO,HÍPER,LOS CABOS,BAJA CALIFORNIA SUR,CARRETERA TRANSPENINSULAR KM 34.5 ,GUAYMITAS,23407.0,"23.0767,-109.7043",23.0767,-109.7043
145,147,SENDERO PERIFERICO,HÍPER,REYNOSA,TAMAULIPAS,CARRETERA REYNOSA-MONTERREY 1000,JARACHINA,88720.0,"26.0543,-98.3653",26.0543,-98.3653
149,151,MATEHUALA,MERCADO,MATEHUALA ,SAN LUIS POTOSÍ,MARIANO MATAMOROS 515,CENTRO,78700.0,"23.6531,-100.6362",23.6531,-100.6362
152,154,LIBRAMIENTO C.J.,HÍPER,JUÁREZ,CHIHUAHUA,BLVD. INDEPENDENCIA OTE. 1510,ZARAGOZA,32599.0,"31.6249,-106.3531",31.6249,-106.3531
154,156,NUEVA ROSITA,MERCADO,SAN JUAN DE SABINAS,COAHUILA DE ZARAGOZA,BLVD. LIC. LOPEZ MATEOS 2000,INDEPENDENCIA,26830.0,"27.9366,-101.2044",27.9366,-101.2044
156,158,CUAHUTEMOC,MERCADO,CUAUHTÉMOC,CHIHUAHUA,BLVD. FERNANDO BAEZA 2835,BARRIO LERDO,31520.0,"28.3982,-106.8778",28.3982,-106.8778
157,159,ALTAMIRA,MERCADO,ALTAMIRA,TAMAULIPAS,BLVD. AL PUERTO INDUSTRIAL PRIMEX 105,CENTRO,89600.0,"22.3961,-97.9322",22.3961,-97.9322
160,162,CHIHUAHUA 2000,HÍPER,CHIHUAHUA,CHIHUAHUA,AV. ARCOS DE LA ESTRELLA 17101,ARCOS,31137.0,"28.7382,-106.1329",28.7382,-106.1329
166,168,SENDERO SAN LUIS POTOSI,HÍPER,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,AV. BENITO JUAREZ 2005,ESTRELLA DE ORIENTE,78396.0,"22.1313,-100.9247",22.1313,-100.9247
174,176,SANTO TOMAS,MERCADO,MATAMOROS,COAHUILA DE ZARAGOZA,BLVD. MATAMOROS TORREO 2555,VALLE HERMOSO,27440.0,"25.5342,-103.2517",25.5342,-103.2517
179,181,AMPLIACIÓN,HÍPER,CIUDAD MADERO,TAMAULIPAS,AV. MONTERREY NTE. 700,UNIDAD NACIONAL AMPLIACION,89510.0,"22.2836,-97.8481",22.2836,-97.8481
180,182,RAMOS ARIZPE,MERCADO,RAMOS ARIZPE,COAHUILA DE ZARAGOZA,CARRETERA MONTERREY SALTILLO KM 1,CENTRO,25900.0,"25.5362,-100.9484",25.5362,-100.9484
181,183,SAN PEDRO DE LAS COLONIAS,MERCADO,SAN PEDRO,COAHUILA DE ZARAGOZA,AUTOPISTA SAN PEDRO TORREON 508,CENTRO,27800.0,"25.7584,-103.0018",25.7584,-103.0018
183,185,FRONTERA,HÍPER,FRONTERA,COAHUILA DE ZARAGOZA,BLVD. SAN BUENA 105,DIEZ DE MAYO,25668.0,"26.9370,-101.4404",26.937,-101.4404
185,187,LA CUESTA,HÍPER,JUÁREZ,CHIHUAHUA,AV. TECNOLOGICO 5311,LA CUESTA,32650.0,"31.6776,-106.4265",31.6776,-106.4265
188,190,CENTENARIO,HÍPER,GÓMEZ PALACIO,DURANGO,BLVD. MIGUEL ALEMAN OTE 117,EL CONSUELO,35000.0,"25.5497,-103.4808",25.5497,-103.4808
191,193,TANGAMANGA,HÍPER,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,AV. MANUEL J. CLOUTHIER 229,TANGAMANGA,78269.0,"22.1402,-101.0000",22.1402,-101.0
192,194,ROSALES,HÍPER,AHOME,SINALOA,BLVD. CENTENARIO PTE. 705,CENTRO,81200.0,"25.7801,-109.0042",25.7801,-109.0042
194,196,LA SIERRA,MERCADO,CHIHUAHUA,CHIHUAHUA,AV. SILVESTRE TERRAZAS 9001,RAMON REYES,31414.0,"28.6012,-106.1045",28.6012,-106.1045
200,204,TRES RIOS,HÍPER,CULIACÁN,SINALOA,BLVD. UNIVERSITARIOS PTE. 433,DESARROLLO URBANO TRES RIOS,80027.0,"24.8348,-107.3976",24.8348,-107.3976
202,206,SENDERO HERMOSILLO,HÍPER,HERMOSILLO,SONORA,PERIFERICO ORIENTE 1274,PERISUR,83290.0,"29.0349,-110.9386",29.0349,-110.9386
208,212,LANDIN,MERCADO,SALTILLO,COAHUILA DE ZARAGOZA,PERIFERICO LUIS ECHEVERRIA ALVARES 2935,LANDIN,25070.0,"25.4030,-101.0271",25.403,-101.0271
213,217,ABASTOS,HÍPER,CULIACÁN,SINALOA,AV. PATRIA SUR 3140,LAZARO CARDENAS,80290.0,"24.7694,-107.3709",24.7694,-107.3709
214,218,RIO SONORA,HÍPER,HERMOSILLO,SONORA,BLVD. PASEO RIO SONORA NORTE 128,PROYECTO RIO SONORA,83270.0,"29.0697,-110.9681",29.0697,-110.9681
217,221,SENDERO MATAMOROS,HÍPER,MATAMOROS,TAMAULIPAS,AV. CONSTITUYENTES 300,FRACC. QUINTA REAL,87345.0,"25.8567,-97.5358",25.8567,-97.5358
219,223,SENDERO SALTILLO,HÍPER,SALTILLO,COAHUILA DE ZARAGOZA,CARRETERA A LOS GONZALEZ 365,EX HACIENDA SAN JOSE DE LOS CERRITOS,25203.0,"25.4437,-100.9609",25.4437,-100.9609
222,226,CAMINO REAL,MERCADO,GUADALUPE,ZACATECAS,CARRETERA A SAUCEDA DE LA BORDA 36,SPAUAZ,98600.0,"22.7581,-102.5042",22.7581,-102.5042
228,232,BORLAUG,MERCADO,CAJEME,SONORA,BLVD. DR. NORMAN E. BORLAUG SUR 7301,FRACC. HACIENDA DEL SOL,85050.0,"27.4488,-109.9313",27.4488,-109.9313
232,237,PORTALES,MERCADO,SALTILLO,COAHUILA DE ZARAGOZA,PERIFERICO LUIS ECHEVERRIA ALVAREZ 1855,SATELITE NORTE,25113.0,"25.4573,-101.0106",25.4573,-101.0106
237,242,SENDERO CD. JUAREZ,HÍPER,JUÁREZ,CHIHUAHUA,AV. FRANCISCO VILLARREAL 2050,PARTIDO SENECU,32546.0,"31.6929,-106.3800",31.6929,-106.38
238,243,LA AURORA,SÚPER,TORREÓN,COAHUILA DE ZARAGOZA,AUTOPISTA TORREON SAN PEDRO 1005,EJIDO LA UNION,27105.0,"25.5990,-103.4036",25.599,-103.4036
243,248,CHAPULTEPEC 1200,SÚPER,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,AV. CHAPULTEPEC 1200,FRACC. ALPES,78295.0,"22.1253,-101.0197",22.1253,-101.0197
244,249,PLAZA DIEZ,MERCADO,GUAYMAS,SONORA,AV. XIV 509,CENTRO,85400.0,"27.9232,-110.9016",27.9232,-110.9016
250,256,ALTARES,SÚPER,HERMOSILLO,SONORA,AV. XOLOTL 244,VALLE DEL MARQUEZ,83294.0,"29.0240,-110.9463",29.024,-110.9463
263,270,SALTILLO ABASOLO,HÍPER,SALTILLO,COAHUILA DE ZARAGOZA,PERIFERICO LUIS ECHEVERRIA 1032,COLONIA GUANAJUATO,25280.0,"25.4418,-100.9798",25.4418,-100.9798
297,309,GAVILANES,SÚPER,GUADALUPE,ZACATECAS,BLVD. LOPEZ PORTILLO SN,CENTRO,98000.0,"22.7586,-102.5375",22.7586,-102.5375
315,329,EL TOREO,HÍPER,MAZATLÁN,SINALOA,RAFAEL BUELNA 103,EL TOREO,82120.0,"23.2475,-106.4373",23.2475,-106.4373
319,334,JUSTO SIERRA,SÚPER,MEXICALI,BAJA CALIFORNIA,BLVD. L. MONTEJANO 1400,JARDINES DEL VALLE,21270.0,"32.6397,-115.4511",32.6397,-115.4511
320,338,RIO TIJUANA,SÚPER,TIJUANA,BAJA CALIFORNIA,BLVD. SANCHEZ TABOADA ZONA RIO 1600,ZONA RIO,22000.0,"32.5245,-117.0227",32.5245,-117.0227
321,340,GLORIETA,HÍPER,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSÍ,CARRETERA CENTRAL FRENTE LA GLORIETA JUAREZ SN,FIDEL VELAZQUEZ,78436.0,"22.1532,-100.9548",22.1532,-100.9548
328,347,PLAZA TUTULI,HÍPER,CAJEME,SONORA,AV. GUERRERO SN,CUMURIPA,85140.0,"27.4929,-109.9475",27.4929,-109.9475
331,351,CANALES,HÍPER,MATAMOROS,TAMAULIPAS,PRIMERA Y CANALES SN,LUCERO,87350.0,"25.8697,-97.5006",25.8697,-97.5006
332,352,CARRERA,HÍPER,VICTORIA,TAMAULIPAS,AV. CARRERA TORRES SN,OBRERA,87090.0,"23.7367,-99.1334",23.7367,-99.1334
333,353,DURANGO,HÍPER,DURANGO,DURANGO,AQUILES SERDAN OTE 1100,DEL LAGO,34080.0,"24.0310,-104.6483",24.031,-104.6483
334,354,MALDONADO,SÚPER,NUEVO LAREDO,TAMAULIPAS,GUATEMALA 3830,JUAREZ,88209.0,"27.4835,-99.5157",27.4835,-99.5157
339,361,SATELITE,HÍPER,VICTORIA,TAMAULIPAS,BLVD. ADOLFO LOPEZ MATEOS 125 O,DOCTOR TREVIÑO ZAPATA,87020.0,"23.7543,-99.1496",23.7543,-99.1496
340,362,LAURO VILLAR PALMAS,HÍPER,MATAMOROS,TAMAULIPAS,AV. LAURO VILLAR KM 2,LAS PALMAS,87420.0,"25.8698,-97.4853",25.8698,-97.4853
341,363,CENTRAL CAMIONERA,SÚPER,REYNOSA,TAMAULIPAS,PARIS FRENTE A LA CENTRAL CAMIONERA SN,UNIDAD Y PROGRESO,88500.0,"26.0858,-98.2716",26.0858,-98.2716
342,364,BELLA VISTA SAL.,HÍPER,SALTILLO,COAHUILA DE ZARAGOZA,BLVD. ANTONIO CARDENAS SN,COLONIA BELLAVISTA,25060.0,"25.4057,-100.9992",25.4057,-100.9992
345,367,EVA SAMANO,HÍPER,NUEVO LAREDO,TAMAULIPAS,CARRETERA ANAHUAC 7201,PARQUE INDUSTRIAL LONGORIA,88130.0,"27.4787,-99.5488",27.4787,-99.5488
348,370,SAN FERNANDO,HÍPER,REYNOSA,TAMAULIPAS,CARRETERA A SAN FERNANDO S/N CRUZ CON JO S/N,CARLOS CANTU CAPITAN,88797.0,"26.0254,-98.2796",26.0254,-98.2796
351,373,LA OCHO,SÚPER,TIJUANA,BAJA CALIFORNIA,AV. CONSTITUCION 1125,ZONA CENTRO,22000.0,"32.5287,-117.0385",32.5287,-117.0385
